appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
210063,"Street Fighter X Tekken: Yoshimitsu (Swap Costume)","dlc",0.99,"2012-07-24 00:00:00",-1,0,1
326530,"Ebook - Crusader Kings II: The Song of Roland","dlc",1.99,"2014-10-14 00:00:00",-1,0,1
453340,"Hustle Cat","game",19.99,"2016-03-16 00:00:00",-1,0,0
26300,"Drug Wars","game",4.99,"2009-03-17 00:00:00",35,17,1
249923,"RPG Maker: Arabian Nights","dlc",9.99,"2013-09-09 00:00:00",-1,0,0
397610,"Time Machine Demo","demo",0,"2015-08-27 00:00:00",-1,0,0
419090,"Vector Strain","game",4.99,"2015-12-09 00:00:00",-1,0,0
99612,"Civilization V - Civilization and Scenario Pack: Korea","dlc",4.99,"2011-08-11 00:00:00",-1,0,1
454780,"Atriage","game",9.99,"2016-04-07 00:00:00",-1,0,1
286730,"Gunship!","game",6.99,"2014-07-11 00:00:00",-1,13,0
219627,"Sealed Play Deck - Slot 08","dlc",8.99,"1970-01-01 00:00:00",-1,0,1
295433,"Call of Duty®: Ghosts - Koi Pack","dlc",1.99,"2014-06-19 00:00:00",-1,17,1
203060,"Sword of the Stars II Soundtrack","dlc",6.99,"2013-01-09 00:00:00",-1,0,1
381830,"Spectra - Soundtrack","dlc",0,"2015-07-10 00:00:00",-1,0,0
285520,"Sledgehammer / Gear Grinder","game",7.99,"2014-03-12 00:00:00",-1,0,1
349700,"Romero's Aftermath","game",0,"2015-09-24 00:00:00",-1,16,1
385860,"Tachyon Project","game",9.99,"2015-07-15 00:00:00",-1,0,0
295031,"Rocksmith® 2014 – Billy Squier - “The Stroke”","dlc",2.99,"2014-10-21 00:00:00",-1,0,0
12640,"Drakensang","game",9.99,"2009-03-09 00:00:00",75,0,0
352140,"Finders","game",5.99,"2015-04-09 00:00:00",-1,0,0
223710,"Cry of Fear","game",0,"2013-04-25 00:00:00",-1,0,0
386900,"The Cat Machine","game",9.99,"2015-08-12 00:00:00",-1,0,0
265140,"Magic 2015 - Garruk's Revenge Expansion","dlc",4.99,"2014-11-05 00:00:00",-1,0,1
363180,"Tenshu General","game",5.99,"2015-12-01 00:00:00",-1,0,0
294993,"Rocksmith® 2014 – Sublime - “Wrong Way”","dlc",2.99,"2014-09-02 00:00:00",-1,0,0
49337,"Pirates of Black Cove: Origins","dlc",4.99,"2011-12-15 00:00:00",-1,0,0
354190,"ToA: Seasons Of The Wolf - Bad Blood DLC","dlc",9.99,"2015-05-07 00:00:00",-1,14,0
379190,"SW4-II - Weapon Set","dlc",3.99,"2015-10-06 00:00:00",-1,0,1
40320,"Rush for Berlin Gold","game",4.99,"2009-10-29 00:00:00",76,0,1
331300,"Depth Hunter 2: Scuba Kids - Hidden Treasures","dlc",3.99,"2014-12-22 00:00:00",-1,0,0
350260,"Jones On Fire Soundtrack","dlc",4.99,"2015-03-27 00:00:00",-1,0,0
206172,"Rocksmith - Hidden Songs - Time Saver Pack","dlc",4.99,"2012-10-16 00:00:00",-1,0,0
373951,"The Witcher 3: Wild Hunt - Elite Crossbow Set","dlc",0,"2015-06-03 00:00:00",-1,0,0
42670,"Singularity™","game",29.99,"2010-06-30 00:00:00",76,0,1
349460,"Lord of the Dark Castle","game",3.99,"2015-08-13 00:00:00",-1,0,0
204386,"Dungeon Defenders: Barbarian Hero DLC","dlc",2.99,"2012-01-31 00:00:00",-1,0,1
443620,"Order of Battle: U.S. Marines","dlc",9.99,"2016-04-07 00:00:00",-1,0,1
454180,"CrazyCars3D","game",2.99,"2016-03-27 00:00:00",-1,0,1
337720,"The Sea Will Claim Everything","game",9.99,"2016-03-24 00:00:00",-1,0,0
348620,"Voices from the Sea","game",0,"2015-03-24 00:00:00",-1,0,0
423760,"Hit Tank PRO","game",2.99,"2015-12-02 00:00:00",-1,0,0
313590,"Boo Bunny Plague","game",1.99,"2014-09-04 00:00:00",-1,0,0
63650,"URU: Complete Chronicles","game",9.99,"2010-08-03 00:00:00",-1,0,0
348710,"Saint Seiya: Soldiers' Soul","game",49.99,"2015-11-24 00:00:00",-1,0,1
331760,"Supreme League of Patriots","game",5.99,"2015-01-29 00:00:00",56,0,0
333310,"Inside The Gear Demo","demo",0,"2014-11-17 00:00:00",-1,0,0
271444,"Rocksmith® 2014 – Boston Song Pack","dlc",7.99,"2014-03-04 00:00:00",-1,0,0
463290,"Kismet","game",6.99,"2016-05-02 00:00:00",-1,0,0
435040,"Incredible Dracula: Chasing Love Collector's Edition","game",9.99,"2016-01-27 00:00:00",-1,0,0
460690,"Techwars Online - Additional Premium Interface","dlc",0.99,"2016-04-14 00:00:00",-1,0,1
203530,"Fortune Summoners Demo","demo",0,"2012-01-30 00:00:00",-1,0,0
342821,"Rocksmith® 2014 – Alt-Rock Song Pack","dlc",11.99,"2015-04-21 00:00:00",-1,0,0
392730,"The Bizarre Creations of Keith the Magnificent","game",4.99,"2015-09-29 00:00:00",-1,0,0
66001,"The Bureau: XCOM Declassified - Light Plasma Pistol","dlc",0.99,"2013-10-15 00:00:00",-1,17,0
222074,"Rocksmith - Pearl Jam - Alive","dlc",2.99,"2013-01-15 00:00:00",-1,0,0
307462,"Sound FX: Buttons, Switches, and Levers","dlc",34.99,"2015-10-14 00:00:00",-1,0,0
268100,"Call of Duty®: Ghosts - Festive Personalization Pack","dlc",0,"2013-12-12 00:00:00",-1,17,1
384150,"TeraBlaster","game",1.99,"2015-07-10 00:00:00",-1,0,0
409193,"ePic Character Generator - Season #1: Elf Female","dlc",7.99,"2015-11-04 00:00:00",-1,0,0
2210,"Quake IV","game",19.99,"2011-08-04 00:00:00",81,17,1
286633,"Call of Duty®: Ghosts - Squad Pack - Extinction","dlc",3.99,"2014-05-22 00:00:00",-1,17,1
216152,"MapleStory Value Pack","dlc",4.99,"2012-08-09 00:00:00",-1,0,1
388580,"Kick Ass Commandos Demo","demo",0,"2015-07-20 00:00:00",-1,0,0
259252,"Call of Duty®: Ghosts - Invasion","dlc",14.99,"2014-07-03 00:00:00",-1,17,1
352840,"One Way Heroics Plus","dlc",6.49,"2015-08-17 00:00:00",-1,0,0
288500,"Black Rainbow","game",6.99,"2014-04-30 00:00:00",-1,0,0
372470,"Batla - Toy Soldiers Pack","dlc",1.99,"2015-06-04 00:00:00",-1,0,1
323610,"911: First Responders®","game",4.99,"2014-09-25 00:00:00",-1,0,1
112110,"Avadon: The Black Fortress Demo","demo",0,"2011-08-22 00:00:00",75,0,0
3190,"King's Bounty Armored Princess Demo","demo",0,"2009-12-02 00:00:00",82,0,0
